Unique Product Identifier	Manufacturer	Product Name	Description	Price	Click-out URL	NexTag Product Cat.	Image URL	Stock Status	Product Condition	Ground Shipping	Weight	Promo Type	Promo Text	List Price	Coupon Code Discount	Coupon URL Discount	Cost-per-Click	Manufacturer Part Number	UPC
DRUM-Brother-DR110CL	Brother	Brother DR110CL Laser Cartridge Drum Unit	Replacement for Brother DR110CL Laser cartridge Drum Unit (DR-110CL)	99.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR110CL&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300223 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Printer Drum Kits	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR110CL.jpg	Yes	New	0.00	10	free shipping	Free Shipping on orders over $50.00	219.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10	DR110CL	
DRUM-Brother-DR210CL	Brother	Brother DR210CL Laser Cartridge Drum Unit	Replacement for Brother DR210CL Laser cartridge Drum Unit (DR-210CL)	99.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR210CL&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300223 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Printer Drum Kits	http://www.compandsave.com/v/vspfiles/templates/10/images/nophoto.gif	Yes	New	0.00	10	free shipping	Free Shipping on orders over $50.00	179.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10	DR210CL	
DRUM-Brother-DR300	Brother	New Compatible Brother DR300 Drum	Compatible Brother DR300 Laser Toner Drum Unit for Brother HL-1040 / HL-1050 / HL-1060 / HL-1070 Laser Toner Printers	74.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR300&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300223 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Printer Drum Kits	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR300.jpg	Yes	New	0.00	10	free shipping	Free Shipping on orders over $50.00	139.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10	DR300	
DRUM-Brother-DR350	Brother	Brother DR350 Laser Cartridge Drum Unit	Compatible Brother DR350 Laser cartridge Drum Unit (DR-350)	36.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR350&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300223 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Printer Drum Kits	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR350.jpg	Yes	New	3.99	10	free shipping	Free Shipping on orders over $50.00	80.7900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10	DR350	
DRUM-Brother-DR360	Brother	Brother DR360 Laser Cartridge Drum Unit	Compatible Brother DR360 Laser cartridge Drum Unit (DR-360)	36.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR360&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300223 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Printer Drum Kits	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR360.jpg	Yes	New	3.99	10	free shipping	Free Shipping on orders over $50.00	80.7900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10	DR360	
DRUM-Brother-DR400	Brother	Brother DR400 Laser Cartridge Drum Unit	Brother DR400 Compatible Drum Unit for Brother HL-1030,FAX-5750	41.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR400&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300223 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Printer Drum Kits	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR400.jpg	Yes	New	3.99	10	free shipping	Free Shipping on orders over $50.00	109.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10	DR400	
DRUM-Brother-DR420	Brother	Brother DR420 Laser Cartridge Drum Unit	Compatible Brother DR420 Laser Cartridge Drum Unit (DR-420)	36.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR420&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300223 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Printer Drum Kits	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR420.jpg	Yes	New	3.99	10	free shipping	Free Shipping on orders over $50.00	57.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10	DR420	012502612353
DRUM-Brother-DR500	Brother	Brother DR500 Laser Cartridge Drum Unit	Compatible Brother DR500 Laser cartridge Drum Unit (DR-500)	41.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR500&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300223 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Printer Drum Kits	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR500.jpg	Yes	New	3.99	10	free shipping	Free Shipping on orders over $50.00	109.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10	DR500	
DRUM-Brother-DR510	Brother	Brother DR510 Laser Cartridge Drum Unit	Compatible Brother DR510 Laser cartridge Drum Unit (DR-510)	41.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR510&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300223 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Printer Drum Kits	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR510.jpg	Yes	New	3.99	10	free shipping	Free Shipping on orders over $50.00	109.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10	DR510	
DRUM-Brother-DR520	Brother	Brother DR520 Laser Cartridge Drum Unit	Compatible Brother DR520 Laser cartridge Drum Unit (DR-520)	41.9900	http://www.compandsave.com/ProductDetails.asp?ProductCode=DRUM-Brother-DR520&utm_source=nextag&utm_medium=shoppingengine&utm_campaign=nextagshopping	300223 : Computers / Computer Accessories / Toner & Inkjet Cartridges / Printer Drum Kits	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR520.jpg	Yes	New	3.99	10	free shipping	Free Shipping on orders over $50.00	98.9900	CAS12	http://www.compandsave.com/Ink_Discount_Coupon_Code_a/274.htm	1.10	DR520	
