Item ID	Item Class ID	Item Class Display Path	Action Flag	Active	FBS Item	Variation Group ID	Title	Short Description	Long Description	Seller Categories	Packing Slip Description	UPC	Manufacturer Model #	Cost	Standard Price	Sale Price	Sale Start Date	Sale End Date	Promotional Text	Brand Name	Shipping Length	Shipping Width	Shipping Height	Shipping Weight	Shipping Restrictions	Shipping Cost: Ground	Product Image URL
DRUM-Brother-DR110CL				Y			Brother DR110CL Laser Cartridge Drum Unit	Replacement for Brother DR110CL Laser cartridge Drum Unit (DR-110CL)					DR110CL		99.9900					Brother				10		0.00	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR110CL.jpg
DRUM-Brother-DR210CL				Y			Brother DR210CL Laser Cartridge Drum Unit	Replacement for Brother DR210CL Laser cartridge Drum Unit (DR-210CL)					DR210CL		99.9900					Brother				10		0.00	http://www.compandsave.com/v/vspfiles/templates/10/images/nophoto.gif
DRUM-Brother-DR300				Y			New Compatible Brother DR300 Drum	Compatible Brother DR300 Laser Toner Drum Unit for Brother HL-1040 / HL-1050 / HL-1060 / HL-1070 Laser Toner Printers							74.9900					Brother				10		0.00	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR300.jpg
DRUM-Brother-DR350				Y			Brother DR350 Laser Cartridge Drum Unit	Compatible Brother DR350 Laser cartridge Drum Unit (DR-350)					DR350		36.9900					Brother				10		3.99	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR350.jpg
DRUM-Brother-DR360				Y			Brother DR360 Laser Cartridge Drum Unit	Compatible Brother DR360 Laser cartridge Drum Unit (DR-360)					DR360		36.9900					Brother				10		3.99	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR360.jpg
DRUM-Brother-DR400				Y			Brother DR400 Laser Cartridge Drum Unit	Brother DR400 Compatible Drum Unit for Brother HL-1030,FAX-5750					DR400		41.9900					Brother				10		3.99	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR400.jpg
DRUM-Brother-DR420				Y			Brother DR420 Laser Cartridge Drum Unit	Compatible Brother DR420 Laser Cartridge Drum Unit (DR-420)				12502612353	DR420		36.9900					Brother				10		3.99	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR420.jpg
DRUM-Brother-DR500				Y			Brother DR500 Laser Cartridge Drum Unit	Compatible Brother DR500 Laser cartridge Drum Unit (DR-500)					DR500		41.9900					Brother				10		3.99	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR500.jpg
DRUM-Brother-DR510				Y			Brother DR510 Laser Cartridge Drum Unit	Compatible Brother DR510 Laser cartridge Drum Unit (DR-510)					DR510		41.9900					Brother				10		3.99	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR510.jpg
DRUM-Brother-DR520				Y			Brother DR520 Laser Cartridge Drum Unit	Compatible Brother DR520 Laser cartridge Drum Unit (DR-520)					DR520		41.9900					Brother				10		3.99	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR520.jpg
DRUM-Brother-DR620				Y			Brother DR620 Laser Cartridge Drum Unit	Compatible Brother DR620 Laser Cartridge Drum Unit (DR-620)					DR620		41.9900					Brother				10		3.99	http://www.compandsave.com/v/vspfiles/photos/original/DRUM-Brother-DR620.jpg
